Annotation/Divergence,pvalue,FoldChange,log(pvalue),log2FC,sig,size
Aqr,0.11466056448879142,1.0810424118548803,0.9405859244681659,-0.11242312452717204,normal,0.10810424118548803
Sapcd1,0.113893653879312,0.6391256830601092,0.9435004740067556,0.64582843210633,normal,0.06391256830601091
Syce2,0.8389176923043038,0.9705369871693332,0.07628064647945512,0.04314489978565903,normal,0.09705369871693333
B3galt2,0.31219946626762246,1.109872201732567,0.5055678437374851,-0.15039356437602178,normal,0.11098722017325671
Tmem45a,0.023110353121824825,1.4316271963330784,1.6361934185326472,-0.5176558557139458,down,0.14316271963330784
Zfp459,0.15852663581819879,0.8520126282557224,0.7998977566828605,0.23105328111830375,normal,0.08520126282557225
Imp3,0.019212877240847148,0.8086708779468258,1.71640759212669,0.3063754371829536,up,0.08086708779468257
Idi1,0.37817335305724253,0.8264462809917357,0.4223090757762937,0.2750070474998696,normal,0.08264462809917357
Nin,0.3135827836429376,1.099665483516764,0.5036477890173109,-0.13706472496094002,normal,0.10996654835167641
Gm1976,0.8303500851285743,0.9861949474625531,0.0807387654743865,0.02005523333751203,normal,0.09861949474625531
Scel,0.07395450555173774,0.6931937172774868,1.131035362212714,0.5286695161158935,normal,0.06931937172774869
Coq8b,0.20938626139813665,0.9106008227273604,0.679051817378854,0.13510933205545705,normal,0.09106008227273604
Ctss,0.053658272395646835,0.8478008258714071,1.2703633141671673,0.23820272311572308,normal,0.08478008258714072
Pla2g16,0.24680006447030645,0.9225760976424107,0.6076547311902761,0.11626017974313012,normal,0.09225760976424106
Litaf,0.15967079300453507,0.9132666459760784,0.7967745177814408,0.13089195027129436,normal,0.09132666459760784
Lrriq1,0.3840206940442764,1.28966639544345,0.41564537181194877,-0.36699792465410797,normal,0.128966639544345
Mirt1,0.475652889432849,1.1929460580912863,0.322709860714916,-0.25452880960177593,normal,0.11929460580912862
Smim10l1,0.2202294154086159,1.0527157504558637,0.6571246740270725,-0.07411593895867152,normal,0.10527157504558637
Meox1,0.12865558368035984,0.6695197337137424,0.8905713605694815,0.5788015160944818,normal,0.06695197337137423
Syap1,0.7256540180570238,1.0305671814114592,0.13927039564078197,-0.0434385554642249,normal,0.10305671814114592
Oaf,0.08309532792595498,0.8094026911716442,1.0804233939417378,0.30507044907556463,normal,0.08094026911716443
Rarb,0.29834948805337225,0.3044710109874922,0.5252747030378695,1.7156232207639497,normal,0.030447101098749218
Comp,0.35993076038065386,1.20875,0.44378103611253134,-0.2735158897021165,normal,0.120875
Uggt2,0.004926756823436459,1.1845586466768219,2.307438873252999,-0.2443496271769689,normal,0.11845586466768218
Ppp1r1a,0.17133496385744051,0.9435498452182011,0.7661540027034556,0.08382936132276264,normal,0.0943549845218201
Lrg1,0.0291122536713441,1.6161870503597122,1.5359241731546809,-0.6925941789125685,down,0.16161870503597123
Bbs9,0.3915200451017582,0.9262620533182077,0.40724599796305744,0.11050768375848662,normal,0.09262620533182077
Tut1,0.44150477325610993,0.9561351190153448,0.35506459675779817,0.06471358362822358,normal,0.09561351190153447
Prrc2b,0.34087151122893045,1.0444110882459754,0.4674092939693538,-0.06268967956975284,normal,0.10444110882459753
Hectd1,0.0033585903329862925,1.2105302698303388,2.473842966379761,-0.27563915499824443,down,0.12105302698303388
Zpbp,0.21509440129517482,1.2967741935483872,0.6673708937420388,-0.37492728590469115,normal,0.12967741935483873
Snord12,0.5055707841260223,0.8429164790071557,0.29621803096669264,0.24653840712649677,normal,0.08429164790071557
Coa7,0.16999881639489064,0.9331111528351483,0.7695541023567685,0.09987914875931539,normal,0.09331111528351484
Bcap29,0.7210948567654081,1.015801781842626,0.1420076020487949,-0.02261890973604849,normal,0.1015801781842626
Nsf,0.17157191290766743,1.1330553881298309,0.7655538066248285,-0.18021838739592977,normal,0.11330553881298308
Sgpp2,0.3423234203129685,0.8850826528579965,0.4655633872637013,0.1761159082787721,normal,0.08850826528579965
Tns3,0.4742482100658161,1.030358421588211,0.3239942995747896,-0.04314628216495694,normal,0.10303584215882108
Nfx1,0.3151114469892602,1.0445896923353535,0.5015358200123788,-0.06293637285685098,normal,0.10445896923353534
Noxred1,0.29382145934824366,0.8341013824884792,0.5319164885451281,0.26170534536127404,normal,0.08341013824884792
Sesn1,0.6843510388866887,1.0187886729903064,0.16472106912211018,-0.026854824764443348,normal,0.10187886729903065
Tnfaip6,0.32488005150445276,0.9289498286070427,0.48827695466768134,0.10632741429063869,normal,0.09289498286070427
Sox7,0.9213555383358047,0.9862613270973402,0.03557274923692602,0.01995813048033378,normal,0.09862613270973401
Bloc1s5,0.7342520961010955,1.0278782554774701,0.1341548050042225,-0.03966939816979071,normal,0.10278782554774701
Tpbg,0.41869181442239656,0.8157517410897172,0.37810552964121386,0.29379793336848203,normal,0.08157517410897172
9130221H12Rik,0.22704391267505988,0.8831832562667316,0.6438901375730609,0.17921527368832213,normal,0.08831832562667316
Rpl8,0.03854472729660806,0.8251311505024067,1.4140350226092335,0.2773046480845139,up,0.08251311505024067
Arid1b,0.9805407851853828,1.0013800717637316,0.008534337322487649,-0.0019896500752347307,normal,0.10013800717637315
Ndufaf6,0.7496119205006448,1.0308263842232146,0.1251635158149308,-0.0438013688728907,normal,0.10308263842232146
Fam20b,0.31111896983437526,1.047226115657639,0.50707350787804,-0.06657298068071214,normal,0.1047226115657639
Tmem104,0.566588764142941,1.0347603201726776,0.24673204209779748,-0.0492966373458754,normal,0.10347603201726777
Ufsp2,0.400040309837436,0.9547878387036769,0.39789624502722015,0.06674790420461538,normal,0.09547878387036769
Adgra3,0.5712065944500463,1.0543021360555889,0.24320678737205273,-0.0762883657660279,normal,0.10543021360555889
C1d,0.28851687071638127,0.910667513294706,0.5398287868589922,0.13500367584991776,normal,0.09106675132947059
Actn2,0.5487989289866322,0.8276684149581088,0.2605867448516866,0.27287519178546427,normal,0.08276684149581089
Pcdhgb8,0.0019505332351118431,0.8737782510687234,2.709846645350801,0.19466089831305108,normal,0.08737782510687234
Fbxo17,0.6530857259539891,1.070954026043051,0.18502980821162365,-0.09889654934744882,normal,0.1070954026043051
Ypel5,0.5914258590435575,1.0355295381847263,0.22809969064114022,-0.05036870660992757,normal,0.10355295381847263
Arl5b,0.005556864472710849,1.510161366551887,2.2551701951655976,-0.5947027153025372,down,0.1510161366551887
Ptprr,0.27056561150609726,1.052939333820612,0.5677274024249963,-0.07442231640402651,normal,0.1052939333820612
Dnajc13,0.029529625557869463,1.1077331892086655,1.529742059949317,-0.1476104328682551,normal,0.11077331892086655
Gbgt1,0.005251769193528758,1.5599644655019251,2.2796943686791806,-0.6415131662490381,down,0.1559964465501925
Btd,0.6339464050842615,1.0243506493506493,0.1979474565662658,-0.034709654287647634,normal,0.10243506493506493
Naa40,0.08488541812228816,0.8980448644755563,1.0711669077882182,0.15514057404166684,normal,0.08980448644755563
Ect2l,0.5894216183265529,0.8590733590733591,0.22957393949431915,0.2191467618327937,normal,0.08590733590733592
Nav3,0.02945467676036906,1.3052010349739802,1.5308457389085797,-0.38427203654428166,down,0.130520103497398
Atm,0.004285615370678896,1.273166734944695,2.3679868090028804,-0.34842136812065927,down,0.12731667349446948
Fem1a,0.26492430060839084,0.9411954245207025,0.576878203514425,0.08743378775198689,normal,0.09411954245207024
Fam57a,0.7524054206935378,1.031043733764851,0.12354808424232433,-0.04410552877538331,normal,0.1031043733764851
Pde8b,0.08036400446599579,0.8438715458081332,1.0949384308815424,0.24490468639281848,normal,0.08438715458081332
Rsbn1,0.010043875642097279,1.1720385366322057,1.9980986731280996,-0.2290200063592712,normal,0.11720385366322057
Cep44,0.2897115436804846,1.0509396451479802,0.5380341998019189,-0.07167981854276591,normal,0.10509396451479802
Nxt1,0.3711539441252937,1.0797817431057368,0.4304459199887053,-0.11073972909235727,normal,0.10797817431057369
Rragd,0.6265170363101383,0.9335250963213174,0.20306711513289574,0.09923928737789874,normal,0.09335250963213174
Snord2,0.5630113047197127,1.2391785538612887,0.24948288485007367,-0.30938408111092225,normal,0.12391785538612887
Tubgcp6,0.12371056005319694,1.0601403153478957,0.9075932269910378,-0.08425522597665604,normal,0.10601403153478957
Phf7,0.4519693481377268,0.924762539576737,0.34489101737010575,0.11284513677786547,normal,0.0924762539576737
