"gene_name","module"
"878","D3Z3A0","blue"
"879","Q8K2B3","cyan"
"880","Q8CBD0","lightgreen"
"881","Q52KF7","turquoise"
"882","Q99KJ8","blue"
"883","O88342","magenta"
"884","F7BX26","cyan"
"885","Q6KCD5","lightcyan"
"886","E0CY16","blue"
"887","Q9DBN4","blue"
"888","P28184","red"
"889","Q9CYT6","brown"
"890","H7BWZ3","black"
"891","A0A0A6YX18","tan"
"892","P97300","cyan"
"893","G3UZJ5","blue"
"894","Q9CWS0","blue"
"895","A0A0G2JGY9","turquoise"
"896","P40237","midnightblue"
"897","O08532","greenyellow"
"898","P18760","magenta"
"899","Q9JLJ2","brown"
"900","Q9CZ44","purple"
"901","F2Z488","turquoise"
"902","Q08509","black"
"903","P35235","magenta"
"904","B9EJA2","brown"
"905","P70232","grey60"
"906","Q9Z0R4","brown"
"907","P61027","grey60"
"908","Q9DCD0","magenta"
"909","Q91YS4","yellow"
"910","A0A0R4IZY0","greenyellow"
"911","A0A1Y7VNP4","lightgreen"
"912","Q3V3V9","magenta"
"913","P32883","yellow"
"914","P63011","magenta"
"915","P84309","brown"
"916","Q3UHL1","magenta"
"917","P27601","green"
"918","Q8R574","tan"
"919","Q64521","brown"
"920","A0A1B0GRW3","yellow"
"921","Q99J99","turquoise"
"922","Q3UH99","cyan"
"923","O08585","blue"
"924","Q68FG2","purple"
"925","P61089","red"
"926","Q9D0I9","green"
"927","O88569","turquoise"
"928","Q9CQV6","lightcyan"
"929","Q8C048","tan"
"930","A0A140LJF4","red"
"931","Q9JJV2","blue"
"932","Q9WVA2","tan"
"933","P80317","tan"
"934","Q8K021","green"
"935","P70202","magenta"
"936","A0A494BAX5","brown"
"937","P62754","magenta"
"938","E9QA74","greenyellow"
"939","P30416","black"
"940","P58281","green"
"941","Q9CR68","grey60"
"942","O88935","turquoise"
"943","Q9DCT8","grey60"
"944","Q8VBV7","turquoise"
"945","A2APV2","red"
"946","Q62186","salmon"
"947","A0A494BBL4","tan"
"948","P35803","red"
"949","P61979","greenyellow"
"950","P56391","blue"
"951","Q3UMR5","blue"
"952","P28474","blue"
"953","Q6PH08","blue"
"954","Q8CIE6","pink"
"955","Q62048","magenta"
"956","E9Q4G8","brown"
"957","Q9QUP5","blue"
"958","Q8K354","red"
"959","P62814","blue"
"960","A0A1W2P838","blue"
"961","Q9DBG3","greenyellow"
"962","Q8BH59","black"
"963","A0A2C9F2D2","black"
"964","Q9D6T9","greenyellow"
"965","Q91V14","black"
"966","P62748","magenta"
"967","P61922","blue"
"968","Q67FY2","lightcyan"
"969","Q9EQ20","midnightblue"
"970","P28667","blue"
