FQ,lab1,lab2,non1,non2
A0A1Y7VKP8,9524.8,9502.759421,8357.297599,8786.954769
P62259,473310,463151.4037,415955.9286,430978.3815
A0A0A6YVU8,9363.3,9863.391825,8536.725991,8728.665069
Q91XD7,27775,18843.99885,25401.43122,19776.7382
H3BIW6,44765,37895.07461,37841.53914,38332.00269
Q9CR61,15484,18541.34798,14338.63492,15590.31975
Q8R464,73566,63289.07543,61509.92924,64042.98034
Q8BFR5,146840,146862.1307,130262.1461,134840.6059
P10922,92366,84109.86233,86809.72346,76760.57488
Q9EQQ9,5393.5,5594.580961,4992.591757,4932.004613
P08122,18930,22730.67317,17475.04843,19148.60143
Q9D8E6,7832.2,9294.408191,6914.964357,8072.775446
H3BL58,931.22,1637.500492,354.1528157,1582.956852
Q9CR98,38189,36686.06404,32367.47468,35240.9086
P84086,88084,75890.50189,79898.40761,72766.42544
O09114,30793,28896.78641,25835.34301,28237.44465
A0A0J9YUD8,5884.6,6837.520294,5118.204662,6044.032888
Q6P4T2,10790,10928.4043,9664.375451,9957.098746
Q99JW2,2605.3,3407.052337,2201.092521,2941.541858
P70404,11607,11765.47289,10441.76818,10690.50497
F6X0V1,13302,11785.22484,12049.84791,11205.54232
A0A494BAH5,18621,16435.53509,16470.4058,15920.91805
Q9D6F9,72719,69147.7591,61105.98732,67235.86391
G3UY33,24505,25855.94162,23032.50734,22519.83408
Q93092,91244,95468.82732,79781.13415,87434.54993
J3QQ44,15152,13951.24933,13685.81266,13126.49243
G3X956,4520.3,4844.962545,3927.618445,4420.360246
P63024,6248.6,7416.539193,5855.594111,6249.177833
A2AL12,41283,33353.71868,35866.13287,34022.91487
A0A286YCF6,24984,31714.62529,23584.99564,26078.98576
Q5NC45,4467.1,5111.13602,4289.993433,4287.51193
P14733,117810,132481.4357,106764.454,116022.6028
P60840,21933,20599.37389,20126.73164,19059.86189
O08749,268370,232435.8675,241739.6901,224789.4429
O88587,12604,15441.24734,12284.65544,12585.35522
A0A3Q4L2U5,12195,14215.51132,11650.98785,11911.10869
Q9Z140,339230,314788.7619,317341.98,288734.1137
F6ZQQ3,36017,34263.26418,31457.95385,32649.19194
O09118,3135.8,3186.754362,2876.717949,2869.941227
P50396,150030,145229.4089,132414.7656,136615.3968
O88704,37316,43803.13816,37808.96318,35228.72866
P40142,134330,127309.2917,114952.7475,123243.5656
P42125,53709,54290.78723,48291.90737,49723.72405
Q9CWU3,26860,26588.6753,23538.08626,24961.91151
Q60865,22223,20202.74196,20090.24656,19198.19118
P47791,30409,30491.27862,27784.68851,27745.89718
Q9D1M0,23206,27080.88119,21363.31511,23321.96995
M0QWY0,9301.8,8587.638767,8547.280602,8028.579673
P13645,108920,127380.9721,100232.3224,109671.6355
P97355,62313,56702.43678,56138.80482,54078.05163
Q8BHN3,25873,28388.65153,25161.67214,24067.55611
P70704,91098,88479.18514,84366.52639,80826.93395
Q9CQN3,8562.9,9408.459782,8006.389349,8190.659839
Q80X50,35085,27072.91669,33007.26655,26688.85262
P62331,15243,15630.64307,14175.75511,13977.34805
P48668,74037,74208.40021,72670.45342,64342.2588
Q9EP69,5859.9,5710.066161,5244.338782,5336.378531
Q8BH58,20694,21336.88627,18959.2092,19244.30094
E9Q8N8,70903,71885.95302,65299.165,65014.76534
Q9D0R2,19664,22377.04952,17189.68301,20083.84662
Q99LT0,35522,31399.23122,31881.44134,30429.83336
P19536,100720,74405.91973,89731.13562,78131.68782
P62315,17688,16339.96113,16986.40901,14839.51361
Q5SVL6,16652,15997.48778,15472.27836,14686.3944
A0A0G2JDX4,33631,33680.26304,25139.52049,34557.96211
P12787,110190,102104.8459,93160.73278,101171.7792
O70250,20830,22273.51107,20092.85264,19217.33108
P70670,67638,66090.98532,62140.59984,60897.94653
Q9CQ91,14456,13136.16275,13074.68764,12575.78527
Q9WUK2,24938,32372.4927,23799.99698,26606.20305
A0A1D5RML0,13105,14414.94232,12151.094,12693.23466
F6RCU2,52604,50251.19457,46975.83855,47678.36458
Q9JII6,171160,180666.6399,153002.7728,165194.7497
Q9CR62,54314,51138.43949,49666.61292,48029.84277
Q6NZD2,8135.7,9492.883445,7614.17478,8159.687998
A0A0R4J094,11497,12118.1408,10714.10321,10798.38442
A0A0R4J0M1,20355,20629.63898,18120.05245,19201.67116
Q8C419,34923,36428.01435,31842.35019,33067.65979
Q9JKB1,39441,39343.02009,34981.36978,36940.00985
P24527,26209,26939.11315,23955.05856,24545.18365
P05213,513570,523044.4178,441886.3935,496576.0439
Q3UJU9,27018,26113.99131,23655.35972,25027.16117
Q6URW6,26305,28151.30953,22855.29412,26098.12566
Q9CPT4,17187,19059.04026,14796.00141,17539.97971
Q9DBC7,41977,45300.46351,39190.18392,40086.78365
P55012,21662,27178.04805,19356.63592,23512.49897
A2A9X5,45230,54638.03928,44544.36884,45098.82785
A0A2I3BR94,44654,42774.1252,39534.18606,40917.62938
D3YYD5,24354,21290.69219,20563.24951,21781.20788
A0A0H2UH27,29152,31490.02648,27658.29378,27591.03798
P41241,14728,23234.02935,13468.20525,18614.42418
Q8BJY1,42739,43682.07781,38942.60661,40095.48361
