uniprot,gene
F8VYC1,F8VYC1
B7Z613,B7Z613
D6R9U4,D6R9U4
D6RAX3,D6RAX3
E9PBG7,E9PBG7
E9PDF2,E9PDF2
E9PDL2,E9PDL2
F6TLX2,F6TLX2
F8VVM2,F8VVM2
G3XAH0,G3XAH0
H0Y8K1,H0Y8K1
H0YI72,H0YI72
J3QKL5,J3QKL5
